year,index_level,frequency,source,source_url,notes
1985,132.29,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1986,141.41,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1987,156.25,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1988,177.41,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1989,223.84,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1990,200.53,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1991,330.86,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1992,360.19,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1993,398.28,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1994,404.27,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1995,576.23,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1996,821.36,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1997,990.80,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1998,1836.01,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
1999,3707.83,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2000,2341.70,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2001,1577.05,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2002,984.36,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2003,1467.92,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2004,1621.12,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2005,1645.20,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2006,1756.90,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2007,2084.93,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2008,1211.65,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2009,1860.31,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2010,2217.86,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2011,2277.83,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2012,2660.93,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2013,3592.00,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2014,4236.28,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2015,4593.27,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2016,4863.62,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2017,6396.42,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2018,6329.96,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2019,8733.07,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2020,12888.28,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2021,16320.08,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2022,10939.76,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2023,16825.93,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2024,21012.17,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
2025,25249.85,annual,Wikipedia Nasdaq-100 annual returns table,https://en.wikipedia.org/wiki/Nasdaq-100,Year-end closing level from annual returns table
